Measured X30cm	
-209.26875	3.192355322
-208.96875	3.192355322
-208.46875	3.192355322
-208.16875	3.369708395
-207.86875	3.369708395
-207.46875	3.369708395
-206.96875	3.369708395
-206.66875	3.547061468
-206.36875	3.547061468
-206.06875	3.547061468
-205.66875	3.547061468
-205.36875	3.547061468
-205.06875	3.547061468
-204.56875	3.547061468
-204.06875	3.547061468
-203.56875	3.724414542
-203.26875	3.724414542
-202.86875	3.724414542
-202.56875	3.724414542
-202.26875	3.724414542
-201.76875	3.724414542
-201.46875	3.724414542
-200.96875	3.724414542
-200.66875	3.901767615
-200.26875	3.901767615
-199.76875	3.901767615
-199.16875	4.079120689
-198.76875	4.079120689
-198.16875	4.079120689
-197.66875	4.079120689
-197.26875	4.079120689
-196.66875	4.256473762
-196.16875	4.256473762
-195.86875	4.256473762
-195.46875	4.256473762
-195.16875	4.256473762
-194.66875	4.256473762
-194.36875	4.256473762
-193.86875	4.433826835
-193.36875	4.433826835
-192.86875	4.433826835
-192.36875	4.611179909
-192.06875	4.611179909
-191.76875	4.611179909
-191.36875	4.611179909
-191.06875	4.788532982
-190.56875	4.788532982
-190.26875	4.788532982
-189.96875	4.788532982
-189.56875	4.965886056
-189.06875	4.965886056
-188.76875	4.965886056
-188.36875	4.965886056
-187.96875	4.965886056
-187.56875	5.143239129
-187.26875	5.143239129
-186.96875	5.143239129
-186.46875	5.143239129
-186.16875	5.320592203
-185.76875	5.320592203
-185.46875	5.320592203
-185.16875	5.320592203
-184.66875	5.497945276
-184.26875	5.497945276
-183.96875	5.497945276
-183.66875	5.497945276
-183.16875	5.675298349
-182.66875	5.675298349
-182.36875	5.675298349
-181.86875	5.852651423
-181.36875	5.852651423
-180.96875	6.030004496
-180.66875	6.030004496
-180.36875	6.030004496
-180.06875	6.030004496
-179.66875	6.20735757
-179.36875	6.20735757
-179.06875	6.20735757
-178.76875	6.384710643
-178.36875	6.384710643
-177.86875	6.562063716
-177.56875	6.562063716
-177.26875	6.562063716
-176.96875	6.562063716
-176.56875	6.73941679
-176.26875	6.73941679
-175.76875	6.916769863
-175.26875	6.916769863
-174.96875	7.094122937
-174.46875	7.094122937
-174.16875	7.27147601
-173.76875	7.448829084
-173.46875	7.448829084
-172.96875	7.626182157
-172.66875	7.80353523
-172.16875	7.980888304
-171.66875	8.158241377
-171.16875	8.335594451
-170.76875	8.690300597
-170.46875	8.867653671
-170.16875	9.045006744
-169.86875	9.399712891
-169.36875	9.931772111
-168.86875	10.64118441
-168.56875	11.17324363
-168.16875	12.06000899
-167.86875	12.76942129
-167.36875	14.18824587
-167.06875	15.25236431
-166.66875	16.6711889
-166.36875	17.73530734
-166.06875	18.97677886
-165.56875	20.92766266
-165.06875	22.87854647
-164.76875	24.12001798
-164.26875	26.07090179
-163.76875	28.19913867
-163.26875	29.97266941
-162.76875	31.74620014
-162.46875	32.81031858
-162.06875	33.87443702
-161.76875	34.76120239
-161.46875	35.47061468
-160.96875	36.7120862
-160.46875	37.59885156
-159.86875	38.48561693
-159.36875	39.19502923
-158.96875	39.72708845
-158.46875	40.08179459
-158.16875	40.25914767
-157.86875	40.61385381
-157.36875	40.79120689
-156.86875	41.14591303
-156.56875	41.32326611
-156.16875	41.50061918
-155.86875	41.67797225
-155.36875	41.85532533
-155.06875	42.0326784
-154.56875	42.21003147
-154.26875	42.38738455
-153.86875	42.56473762
-153.56875	42.56473762
-153.16875	42.74209069
-152.76875	42.91944377
-152.26875	43.09679684
-151.76875	43.09679684
-151.26875	43.27414991
-150.86875	43.45150299
-150.56875	43.45150299
-150.16875	43.62885606
-149.76875	43.62885606
-149.46875	43.80620913
-148.96875	43.98356221
-148.46875	44.16091528
-147.96875	44.16091528
-147.66875	44.33826835
-147.16875	44.51562143
-146.66875	44.6929745
-146.36875	44.6929745
-145.96875	44.87032757
-145.36875	44.87032757
-145.06875	45.04768065
-144.56875	45.22503372
-144.16875	45.22503372
-143.86875	45.22503372
-143.36875	45.40238679
-143.06875	45.57973987
-142.66875	45.57973987
-142.36875	45.75709294
-142.06875	45.75709294
-141.56875	45.93444602
-141.16875	45.93444602
-140.86875	45.93444602
-140.56875	46.11179909
-140.26875	46.11179909
-139.96875	46.28915216
-139.56875	46.28915216
