"sdf_x","sdf_y"
0.5,0.4529986977,
1.5,0.6764773986,
2.5,0.7847377128,
3.5,0.8497523655,
4.5,0.9070922885,
5.5,0.9433222517,
6.5,0.9652892666,
7.5,0.9761030394,
8.5,0.9974183571,
9.5,1.003388406,
10.5,1.011063136,
11.5,1.00668985,
12.5,1.011457088,
13.5,1,
14.5,1.00962563,
15.5,1.017391514,
16.5,1.009043084,
17.5,1.009223296,
18.5,0.9999486605,
19.5,1.001998049,
20.5,0.9915080294,
21.5,0.9874323026,
22.5,0.9871483638,
23.5,0.9835629815,
24.5,0.9751579737,
25.5,0.9634829548,
26.5,0.9680113073,
27.5,0.969924489,
28.5,0.9573766988,
29.5,0.940448288,
30.5,0.9362520706,
31.5,0.9490680835,
32.5,0.9321270998,
33.5,0.9215742154,
34.5,0.9174911544,
35.5,0.9172040724,
36.5,0.9049506984,
37.5,0.8946545114,
38.5,0.9075082431,
39.5,0.8974729446,
40.5,0.8854877933,
41.5,0.8935931461,
42.5,0.8832110441,
43.5,0.8744602805,
44.5,0.8832948636,
45.5,0.8676908022,
46.5,0.8719938896,
47.5,0.8636527942,
48.5,0.8492022996,
49.5,0.8426905664,
50.5,0.841399745,
51.5,0.8425051156,
52.5,0.8318296451,
53.5,0.8281520613,
54.5,0.8259235084,
55.5,0.8223884178,
56.5,0.8182917361,
57.5,0.8200414697,
58.5,0.8024508843,
59.5,0.7946598549,
60.5,0.7888385855,
61.5,0.7910053215,
62.5,0.7815913356,
63.5,0.7852961607,
64.5,0.7777010596,
65.5,0.7705805868,
66.5,0.7802072649,
67.5,0.7691116487,
68.5,0.7665142897,
69.5,0.7582528229,
70.5,0.754444271,
71.5,0.7368086326,
72.5,0.7389460317,
73.5,0.7441009355,
74.5,0.7303388092,
75.5,0.7296619661,
76.5,0.7215503268,
77.5,0.7188419069,
78.5,0.7161670147,
79.5,0.7140987667,
80.5,0.7049561466,
81.5,0.7078657336,
82.5,0.6944441243,
83.5,0.6884353086,
84.5,0.6830341848,
85.5,0.6789972245,
86.5,0.6794603277,
87.5,0.6730743239,
88.5,0.6746951849,
89.5,0.6618131641,
90.5,0.6597931123,
91.5,0.6605150084,
92.5,0.6564109925,
93.5,0.6500459436,
94.5,0.6502177737,
95.5,0.6496331322,
96.5,0.6511282639,
97.5,0.6481327618,
98.5,0.641500538,
99.5,0.6352664572,
100.5,0.6232173934,
101.5,0.6117875467,
102.5,0.6143503302,
103.5,0.606414712,
104.5,0.6048053762,
105.5,0.6019209351,
106.5,0.5897147096,
107.5,0.5991569846,
108.5,0.5897712878,
109.5,0.5917179974,
110.5,0.5928726121,
111.5,0.5895984099,
112.5,0.5802242383,
113.5,0.5766566677,
114.5,0.5709977987,
115.5,0.5653347387,
116.5,0.5545691622,
117.5,0.5563408984,
118.5,0.5535360859,
119.5,0.5637788379,
120.5,0.5574567465,
121.5,0.5434305885,
122.5,0.5414849266,
123.5,0.5453919665,
124.5,0.5358711106,
125.5,0.5324942295,
126.5,0.5269809971,
127.5,0.5191501533,
128.5,0.511346551,
129.5,0.5191375804,
130.5,0.512631086,
131.5,0.50838772,
132.5,0.5021997399,
133.5,0.5056772045,
134.5,0.4960274761,
135.5,0.5052989687,
136.5,0.5056845387,
137.5,0.4923886588,
138.5,0.4850387299,
139.5,0.4846594463,
140.5,0.4831245004,
141.5,0.4844205605,
142.5,0.4729215627,
143.5,0.4770203399,
144.5,0.4689013664,
145.5,0.4646632391,
146.5,0.4691140585,
147.5,0.4596675925,
148.5,0.4591521021,
149.5,0.4522317485,
150.5,0.4492938725,
151.5,0.4482922286,
152.5,0.4527399047,
153.5,0.4468515796,
154.5,0.4417270604,
155.5,0.4377100073,
156.5,0.4375570366,
157.5,0.4284594696,
158.5,0.425027058,
159.5,0.4304679961,
160.5,0.4271393113,
161.5,0.4244246048,
162.5,0.4163925941,
163.5,0.4153993322,
164.5,0.4161107508,
165.5,0.4150996772,
166.5,0.4103031021,
167.5,0.4038301354,
168.5,0.3965870765,
169.5,0.401595296,
170.5,0.3971245695,
171.5,0.3978925664,
172.5,0.3979239987,
173.5,0.4014548983,
174.5,0.3939017069,
175.5,0.3857471101,
176.5,0.3798179229,
177.5,0.3834274033,
178.5,0.3848418587,
179.5,0.3774814523,
180.5,0.3741569584,
181.5,0.3656974679,
182.5,0.3655183036,
183.5,0.3677803843,
184.5,0.3627889287,
185.5,0.3539700617,
186.5,0.3575344891,
187.5,0.3553237479,
188.5,0.3555332968,
189.5,0.3571384416,
190.5,0.3501918944,
191.5,0.3448064868,
192.5,0.3486244684,
193.5,0.340788386,
194.5,0.3399302831,
195.5,0.3387180425,
196.5,0.3289823989,
197.5,0.3298886981,
198.5,0.3383272337,
199.5,0.333930897,
200.5,0.3277104369,
201.5,0.3290735527,
202.5,0.3222076819,
203.5,0.3216649501,
204.5,0.3233748694,
205.5,0.3169553378,
206.5,0.3165383354,
207.5,0.3149562409,
208.5,0.3167950329,
209.5,0.311361429,
210.5,0.3107285912,
211.5,0.3035578266,
212.5,0.3015325361,
213.5,0.2966992899,
214.5,0.3011522048,
215.5,0.2988230684,
216.5,0.2967862528,
217.5,0.2972870747,
218.5,0.2905940817,
219.5,0.2947075273,
220.5,0.2862124135,
221.5,0.2871291901,
222.5,0.2877347865,
223.5,0.2850096026,
224.5,0.277888082,
225.5,0.2814367932,
226.5,0.2789976436,
227.5,0.2732968648,
228.5,0.2749533492,
229.5,0.2692714298,
230.5,0.2657614851,
231.5,0.2711783251,
232.5,0.2737222492,
233.5,0.2698393074,
234.5,0.2632238475,
235.5,0.264699072,
236.5,0.2582743017,
237.5,0.2542802989,
238.5,0.2523943585,
239.5,0.2587992217,
240.5,0.2586902563,
241.5,0.2573596205,
242.5,0.2479812579,
243.5,0.2476114041,
244.5,0.2492207399,
245.5,0.248071364,
246.5,0.2473882345,
247.5,0.2421725615,
248.5,0.2384635453,
249.5,0.2417084106,
250.5,0.239905242,
251.5,0.2360369686,
252.5,0.2390932398,
253.5,0.2369474587,
254.5,0.2284240558,
255.5,0.2345669828,
256.5,0.233548575,
257.5,0.2320083903,
258.5,0.2313493589,
259.5,0.2330655647,
260.5,0.2294896121,
261.5,0.2235729979,
262.5,0.2259094686,
263.5,0.218242073,
264.5,0.2160690506,
265.5,0.217113652,
266.5,0.2166474056,
267.5,0.2143077918,
268.5,0.2192971519,
269.5,0.2124878593,
270.5,0.2101765345,
